Fare,SibSp,Name,Name,PassengerId,Gender,Age,Embarked,Parch,Survived
18,0,871,871,491,1,27,2,0,0
139,1,344,344,440,0,59,2,1,1
216,0,282,282,139,1,31,0,0,0
40,0,641,641,519,1,42,2,0,0
233,2,264,264,660,1,65,2,0,1
190,0,157,157,166,0,88,2,1,1
0,0,817,817,271,1,33,2,0,1
158,4,24,24,119,0,6,2,2,0
30,0,569,569,775,1,23,2,0,0
177,1,458,458,608,0,28,0,2,1
41,2,313,313,392,1,36,2,0,0
152,0,508,508,839,1,88,0,0,1
208,2,360,360,655,1,31,2,0,0
33,0,404,404,395,1,28,2,0,0
175,4,629,629,50,1,11,2,1,0
30,0,400,400,368,0,88,1,0,1
64,0,834,834,200,1,36,2,0,0
203,1,642,642,336,1,38,2,0,0
98,0,685,685,135,1,29,0,0,0
220,1,535,535,34,1,36,0,0,0
143,0,850,850,694,1,76,2,0,0
123,1,826,826,117,1,38,2,0,0
236,0,495,495,195,0,74,0,0,1
186,0,515,515,6,1,69,2,0,0
123,1,274,274,405,1,45,2,0,0
85,0,277,277,576,0,45,2,0,1
96,1,695,695,132,0,62,2,0,0
11,1,107,107,477,1,38,2,0,0
94,0,63,63,702,0,23,0,1,0
72,0,763,763,812,1,47,2,0,0
97,0,395,395,586,1,62,2,0,0
188,1,79,79,871,0,62,2,1,1
121,1,295,295,328,0,41,2,1,1
72,0,596,596,66,0,38,2,0,1
196,0,364,364,523,0,58,0,1,1
27,0,565,565,697,0,88,1,0,1
56,0,640,640,584,1,88,0,0,0
30,0,176,176,749,1,41,1,0,0
131,1,413,413,888,0,88,2,2,0
85,0,118,118,387,0,48,2,0,1
138,0,670,670,506,0,44,2,2,1
31,0,481,481,246,0,33,2,0,0
43,0,528,528,415,0,88,2,0,0
43,0,730,730,676,1,32,2,0,0
123,1,827,827,41,0,35,2,0,0
138,1,423,423,316,0,31,2,0,1
36,0,49,49,833,1,29,2,0,0
122,1,208,208,788,1,5,2,2,1
68,0,824,824,677,0,23,2,0,1
195,1,214,214,781,0,22,2,0,1
30,0,603,603,459,1,88,1,0,0
72,0,856,856,33,1,82,2,0,0
153,1,160,160,580,0,33,2,1,1
118,1,317,317,490,1,88,2,0,0
72,0,169,169,242,1,38,2,0,0
133,0,709,709,517,1,88,1,0,0
18,0,5,5,365,1,39,2,0,0
13,1,399,399,721,1,22,2,0,0
232,1,142,142,802,1,15,2,2,1
138,1,162,162,426,0,36,2,0,1
213,1,369,369,765,0,66,2,0,1
17,0,712,712,832,1,88,0,0,0
139,1,173,173,637,1,41,2,1,0
139,0,172,172,237,0,12,2,2,1
127,1,653,653,128,0,88,0,1,1
179,5,297,297,480,1,13,2,2,0
225,2,539,539,245,1,58,1,0,0
231,0,584,584,659,1,74,0,2,0
120,1,1,1,746,1,21,2,1,0
222,1,337,337,62,1,59,2,0,0
151,4,683,683,787,1,12,1,1,0
237,1,17,17,297,0,6,2,2,0
172,2,77,77,618,0,8,2,1,1
30,0,195,195,510,1,38,1,0,1
30,0,100,100,593,0,88,1,2,0
30,1,437,437,214,1,88,1,0,0
170,1,504,504,817,1,41,0,1,0
53,0,405,405,103,1,44,2,0,0
85,0,864,864,673,1,41,2,0,1
114,1,687,687,407,1,7,2,1,1
30,0,771,771,260,1,88,1,0,0
129,1,852,852,750,0,8,2,1,1
43,0,67,67,112,1,28,2,0,0
147,1,760,760,167,0,59,2,4,0
138,1,370,370,236,1,58,2,0,0
2,0,139,139,872,1,44,2,0,0
17,0,505,505,36,1,88,0,0,1
43,0,110,110,614,1,47,2,0,0
156,0,380,380,793,1,88,0,0,0
243,0,693,693,557,1,88,0,0,0
204,0,723,723,641,0,31,0,0,1
233,1,265,265,334,0,88,2,0,1
85,0,621,621,795,1,52,2,0,0
188,1,78,78,248,1,50,2,1,1
85,0,679,679,443,0,36,2,0,1
159,4,41,41,182,1,13,2,2,0
245,2,710,710,311,0,23,0,2,1
102,1,599,599,364,1,88,1,0,0
43,0,557,557,461,1,45,2,0,0
102,1,102,102,657,0,42,1,1,0
137,0,797,797,862,0,63,2,0,1
44,0,402,402,444,1,88,2,0,1
172,1,114,114,670,0,53,2,1,1
247,0,844,844,258,0,47,0,0,1
215,1,148,148,741,1,48,2,0,0
102,0,520,520,718,1,88,1,0,0
36,0,614,614,281,1,36,2,0,0
30,0,227,227,280,1,81,1,0,0
138,0,636,636,259,0,65,2,1,1
15,0,499,499,127,1,31,2,0,1
18,0,430,430,470,1,88,2,0,0
154,1,576,576,9,0,18,0,0,1
244,0,71,71,299,0,65,0,1,1
96,0,692,692,538,1,88,2,0,0
110,0,728,728,394,0,31,2,2,1
109,1,526,526,743,1,31,2,0,0
138,1,851,851,133,0,38,2,0,1
112,1,37,37,353,1,33,2,0,0
205,6,717,717,180,0,88,2,2,0
0,0,132,132,466,1,88,2,0,0
36,1,20,20,192,0,24,2,0,1
10,0,234,234,129,1,59,2,0,0
99,0,650,650,181,1,88,0,0,0
40,0,581,581,223,1,88,2,0,0
178,0,335,335,602,1,88,2,0,0
64,0,480,480,770,1,31,2,0,0
244,0,70,70,118,1,31,0,1,0
85,0,742,742,417,0,23,2,2,1
40,0,96,96,628,1,34,2,0,0
151,4,682,682,16,1,6,1,1,0
155,0,777,777,632,1,42,0,0,1
85,0,534,534,808,1,52,2,0,0
40,0,200,200,321,1,35,2,0,0
143,0,92,92,430,1,36,2,0,1
61,0,8,8,855,0,23,2,1,1
17,0,749,749,60,1,28,0,0,0
245,2,711,711,742,0,27,0,2,1
129,0,219,219,98,0,45,2,1,1
43,0,708,708,574,1,21,2,0,0
169,1,586,586,145,1,24,2,1,0
153,0,66,66,630,1,87,2,0,1
40,0,786,786,566,1,24,2,0,0
43,0,774,774,488,1,39,2,0,0
79,0,365,365,479,0,6,2,1,1
95,0,46,46,114,0,22,0,0,0
60,0,615,615,682,1,25,2,0,0
80,0,442,442,626,1,73,1,0,0
